Country Code,Country Name,Year,Unemployment Rate,Mean Years of Schooling,Minimum Wage (PPP),GDP (PPP),Inflation Rate - CPI (%),Labor force participation rate (%),Population growth (%),"Employment rate, male (%)"
KHM,Cambodia,2018,0.13,4.516277432,0.108,91413678746.0,2.500000002,85.545,1.243682774,26.07723522
KHM,Cambodia,2019,0.119,4.798369884,0.116,101000000000.0,1.900000002,86.135,1.26258301,25.82600246
KHM,Cambodia,2020,0.172,4.997735023,0.12,99390356591.0,2.9,85.893,1.470629886,26.88587062
KHM,Cambodia,2021,0.396,5.197100163,0.122,106000000000.0,2.8,83.552,1.476778362,29.08133034
KHM,Cambodia,2022,0.231,5.197100163,0.126,119000000000.0,5.5,84.331,1.330888131,29.12610656
KHM,Cambodia,2023,0.225,5.197100163,0.132,129000000000.0,2.1,84.39,1.283206776,29.66270532
KHM,Cambodia,2024,0.27,5.197100163,0.137,141000000000.0,2.2,84.44,1.225939863,29.66270532
KWT,Kuwait,2015,2.2,7.070000172,393.075,174000000000.0,3.271624439,79.742,4.4991022,31.93794959
KWT,Kuwait,2016,2.16,7.130000114,393.075,168000000000.0,3.19850528,80.098,4.325949068,31.61790882
KWT,Kuwait,2017,2.227,7.190000057,393.075,193000000000.0,2.171981347,80.598,3.69493434,31.43588768
KWT,Kuwait,2018,2.204,7.21999979,402.951,222000000000.0,0.570262003,80.764,3.980154823,31.16250032
KWT,Kuwait,2019,2.251,7.333540674,399.915,225000000000.0,1.100003559,80.657,2.710713324,30.61951131
KWT,Kuwait,2020,3.557,7.448867088,387.659,182000000000.0,2.100071207,75.754,-0.951064117,30.54283683
KWT,Kuwait,2021,3.002,7.566007112,390.896,221000000000.0,3.400051934,77.335,-0.899478872,31.01004239
KWT,Kuwait,2022,2.174,7.566007112,406.017,253000000000.0,4.0,81.868,5.113181109,30.73737337
KWT,Kuwait,2023,2.127,7.566007112,407.874,257000000000.0,3.6,81.43,5.588136781,30.13489932
KWT,Kuwait,2024,2.144,7.566007112,408.077,257000000000.0,2.9997,81.256,0.899286655,30.13489932
LAO,Lao PDR,2015,2.494,5.478619371,275.315,41395269251.0,1.277358307,64.238,1.458364749,11.07982319
LAO,Lao PDR,2016,2.881,5.572289603,280.354,46586124702.0,1.596928556,64.249,1.563175613,11.28809165
LAO,Lao PDR,2017,3.268,5.665959835,282.422,50122949867.0,0.825502883,64.238,1.570297226,11.54961113
LAO,Lao PDR,2018,2.9,5.759630067,344.059,53366707257.0,2.040148027,65.478,1.55377802,10.78148329
LAO,Lao PDR,2019,2.537,5.853300299,341.134,56042601063.0,3.314740002,66.704,1.525763046,10.08606217
LAO,Lao PDR,2020,2.361,5.94697053,338.462,58135955846.0,5.099999996,67.228,1.493386752,9.534766467
LAO,Lao PDR,2021,2.066,6.06024616,337.397,60225053628.0,3.8,68.589,1.441416409,9.209269739
LAO,Lao PDR,2022,1.209,6.06024616,323.307,66265586058.0,22.70479,70.396,1.409716701,8.521675797
LAO,Lao PDR,2023,1.188,6.06024616,342.01,71221494500.0,31.22993,70.349,1.392376672,8.847097992
LAO,Lao PDR,2024,1.218,6.06024616,285.954,76049830545.0,23.3,70.368,1.35832703,8.847097992
LBN,Lebanon,2015,9.306,9.734545361,857.102,110000000000.0,-3.724521532,50.179,1.957695836,27.76783606
LBN,Lebanon,2016,9.786,9.946363536,895.109,120000000000.0,-0.869565217,50.508,-2.335437494,27.76976778
LBN,Lebanon,2017,10.251,10.15818171,896.686,129000000000.0,4.473684211,50.891,-2.610571165,27.60038202
LBN,Lebanon,2018,10.745,10.36999989,930.454,132000000000.0,6.076994123,51.324,-2.898842971,27.26286277
LBN,Lebanon,2019,11.301,10.36999989,902.011,126000000000.0,2.9,51.8,-3.21837129,26.56788274
LBN,Lebanon,2020,13.284,10.36999989,491.065,92719310021.0,84.3,48.272,-1.603862582,26.67613416
LBN,Lebanon,2021,12.669,10.36999989,140.853,66328931530.0,150.0,48.877,0.275364168,26.95882938
LBN,Lebanon,2022,11.6,10.36999989,216.058,70616088355.0,171.2,48.854,0.460053063,26.68077038
LBN,Lebanon,2023,11.543,10.36999989,242.321,72600709792.0,221.3417212,48.844,0.503630954,26.44602026
LBN,Lebanon,2024,11.543,10.36999989,343.519,72600709792.0,45.24,48.844,0.560805065,26.44602026
LKA,Sri Lanka,2015,4.519,10.5014286,257.201,256000000000.0,0.900000001,58.903,0.919811027,25.94127068
LKA,Sri Lanka,2016,4.242,10.5,257.201,277000000000.0,3.987899998,59.145,1.133277498,26.81414661
